,obj_id,frame_0,frame_-1,A,B,M,C,pred_diff,pred_err,pred_err_s,pred_err_lbs
48,97.0,1456.0,1915.0,131.00721716892298,42.940846059406766,1.8055202131684378,-22.064446038048995,129.82772065762447,429.86437160029953,442.69018398806764,31.853186431367092
49,98.0,1456.0,1793.0,140.42003735687888,47.61800623513672,1.6478701803145759,-23.96587996339963,140.2650657565994,878.5286590245026,932.8477960500898,68.88427451230382
50,99.0,1478.0,1825.0,26.459011426612715,126.62038517932095,1.7273789340746246,-22.736541498708583,26.458898098631057,71.32960605544037,57.69982127501143,69.49168599446186
51,100.0,1502.0,1916.0,219.87786411410713,63.25541214094276,1.9159999999999997,-20.787247890070425,109.93893205612326,139.38373158127789,169.79592617148174,42.620949743370666
52,102.0,1574.0,1789.0,135.46376520316036,35.5082412469743,1.7889999999999997,-30.880461585063973,67.66640526173322,166.3840017012904,166.26520186642023,15.322902056129413
53,103.0,1574.0,1770.0,139.31934801761344,80.80313583241771,1.7699999999999998,-20.532627583320973,69.65965556249333,112.04221653439438,143.449471721964,19.594309909678657
54,104.0,1604.0,1719.0,69.91489104990906,241.11530933976093,1.701917706466726,-13.522012678170073,68.79599443235259,80.74956648451004,126.91245060016658,24.439781689106795
55,107.0,978.0,1366.0,118.10400709395965,126.37441639312742,1.3417463882250165,-17.56018457999711,112.83978719764751,174.6745745832347,241.64798472121464,56.5457350969064
56,121.0,4116.0,4784.0,222.97015078310102,16.158266277918298,4.783999999999999,-28.969043678541592,111.48049835939591,218.06530945047933,222.71313909934926,26.233779711646854
57,124.0,4160.0,4784.0,87.0788121378084,14.578181079950218,4.783999999999999,-30.463411139683547,43.52965212348853,174.26815284231805,168.1978769652653,10.999234385511185
58,140.0,4640.0,4784.0,59.33013611049483,63.224695335633015,4.765006110072867,-23.222562677490163,45.58408450642335,69.5915286069805,60.340082983031394,10.050922903520902
59,154.0,909.0,1103.0,74.46065232167018,714.7433087478266,1.0796734501796692,-17.41579446833371,74.46064804452433,92.17197835502559,138.1811482607558,19.061885650064937
